Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CADORNA,Abitazioni signorili,OTTIMO,8500,11200,25,34,2,2021
VIA DANTE,Abitazioni signorili,OTTIMO,8500,11200,25,34,2,2021
CENTRO STORICO -SANT`AMBROGIO,Box,NORMALE,3600,5100,"12,5",17,2,2021
CADORNA,Box,NORMALE,3600,5100,"12,5",17,2,2021
VIA DANTE,Box,NORMALE,3600,5100,"12,5",17,2,2021
CENTRO STORICO -SANT`AMBROGIO,Magazzini,NORMALE,1300,1900,8,12,2,2021
CADORNA,Magazzini,NORMALE,1300,1900,8,12,2,2021
VIA DANTE,Magazzini,NORMALE,1300,1900,8,12,2,2021
CENTRO STORICO -SANT`AMBROGIO,Negozi,OTTIMO,5500,8000,"27,5","41,7",2,2021
CADORNA,Negozi,OTTIMO,5500,8000,"27,5","41,7",2,2021
VIA DANTE,Negozi,OTTIMO,5500,8000,"27,5","41,7",2,2021
CENTRO STORICO -SANT`AMBROGIO,Negozi,NORMALE,4000,5500,19,"26,8",2,2021
CADORNA,Negozi,NORMALE,4000,5500,19,"26,8",2,2021
VIA DANTE,Negozi,NORMALE,4000,5500,19,"26,8",2,2021
CENTRO STORICO -SANT`AMBROGIO,Uffici,OTTIMO,4300,6200,"17,7",26,2,2021
CADORNA,Uffici,OTTIMO,4300,6200,"17,7",26,2,2021
VIA DANTE,Uffici,OTTIMO,4300,6200,"17,7",26,2,2021
CENTRO STORICO -SANT`AMBROGIO,Uffici strutturati,OTTIMO,4800,6600,"20,4","27,5",2,2021
CADORNA,Uffici strutturati,OTTIMO,4800,6600,"20,4","27,5",2,2021
VIA DANTE,Uffici strutturati,OTTIMO,4800,6600,"20,4","27,5",2,2021
CENTRO STORICO -SANT`AMBROGIO,Laboratori,NORMALE,2300,2900,12,15,2,2021
CADORNA,Laboratori,NORMALE,2300,2900,12,15,2,2021
VIA DANTE,Laboratori,NORMALE,2300,2900,12,15,2,2021
PARCO SEMPIONE,Abitazioni civili,OTTIMO,6000,8400,18,"26,2",1,2021
ARCO DELLA PACE,Abitazioni civili,OTTIMO,6000,8400,18,"26,2",1,2021
CORSO MAGENTA,Abitazioni civili,OTTIMO,6000,8400,18,"26,2",1,2021
PARCO SEMPIONE,Abitazioni civili,NORMALE,4000,5900,"12,5","17,9",1,2021
ARCO DELLA PACE,Abitazioni civili,NORMALE,4000,5900,"12,5","17,9",1,2021
CORSO MAGENTA,Abitazioni civili,NORMALE,4000,5900,"12,5","17,9",1,2021
PARCO SEMPIONE,Abitazioni di tipo economico,NORMALE,3200,4000,9,12,1,2021
ARCO DELLA PACE,Abitazioni di tipo economico,NORMALE,3200,4000,9,12,1,2021
CORSO MAGENTA,Abitazioni di tipo economico,NORMALE,3200,4000,9,12,1,2021
