Quotazioni Immobiliari : Valori di Mercato - Semestre 2013/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;20;Abitazioni civili;OTTIMO; ;4600;7000;L;18;25;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;20;Abitazioni civili;NORMALE;P;3600;4600;L;11,5;15,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;21;Abitazioni di tipo economico;OTTIMO; ;3400;4500;L;13,5;18,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;21;Abitazioni di tipo economico;NORMALE;P;3000;3400;L;11;14,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;21;Abitazioni di tipo economico;SCADENTE; ;2400;3000;L;9;11;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;13;Box;NORMALE;P;2100;3400;L;10,5;15;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;9;Magazzini;NORMALE;P;800;1100;L;4,4;5,6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;5;Negozi;NORMALE;P;2800;3900;L;12,5;18,3;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;6;Uffici;OTTIMO;P;3000;3900;L;13,2;18,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;18;Uffici strutturati;OTTIMO;P;3300;4600;L;16;22,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;10;Laboratori;NORMALE;P;1000;1500;L;7;9;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;20;Abitazioni civili;SCADENTE; ;6000;7700;L;22;28;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;20;Abitazioni civili;OTTIMO; ;9400;13400;L;35;50;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;20;Abitazioni civili;NORMALE;P;7700;9400;L;28;35;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;21;Abitazioni di tipo economico;SCADENTE; ;5900;6800;L;21;22;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;21;Abitazioni di tipo economico;OTTIMO; ;7900;9900;L;26,8;35,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;21;Abitazioni di tipo economico;NORMALE;P;6800;7800;L;23;26,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;13;Box;NORMALE;P;4300;6100;L;14;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;9;Magazzini;NORMALE;P;2500;3600;L;14;20;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;5;Negozi;OTTIMO; ;11900;22400;L;60,5;119,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;5;Negozi;NORMALE;P;7900;11900;L;40;60;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B11;MI00003227;6;Uffici;OTTIMO;P;6100;8100;L;25;35,2;L;
