Neighborhood,Type,Status,Min_Sale_Price,Max_Sale_Price,Min_Rent_Price,Max_Rent_Price,Semester,Year,Avg_Sale_Price,Avg_Rent_Price
CAIROLI,Uffici,OTTIMO,6400,8300,23.8,34.5,2,2017,7350.0,29.15
DUOMO,Uffici strutturati,OTTIMO,6700,9100,29.3,41.3,2,2017,7900.0,35.3
SANBABILA,Uffici strutturati,OTTIMO,6700,9100,29.3,41.3,2,2017,7900.0,35.3
MONTENAPOLEONE,Uffici strutturati,OTTIMO,6700,9100,29.3,41.3,2,2017,7900.0,35.3
MISSORI,Uffici strutturati,OTTIMO,6700,9100,29.3,41.3,2,2017,7900.0,35.3
CAIROLI,Uffici strutturati,OTTIMO,6700,9100,29.3,41.3,2,2017,7900.0,35.3
DUOMO,Laboratori,NORMALE,2800,3300,15.0,20.5,2,2017,3050.0,17.75
SANBABILA,Laboratori,NORMALE,2800,3300,15.0,20.5,2,2017,3050.0,17.75
MONTENAPOLEONE,Laboratori,NORMALE,2800,3300,15.0,20.5,2,2017,3050.0,17.75
MISSORI,Laboratori,NORMALE,2800,3300,15.0,20.5,2,2017,3050.0,17.75
CAIROLI,Laboratori,NORMALE,2800,3300,15.0,20.5,2,2017,3050.0,17.75
UNIVERSITA STATALE,Abitazioni civili,OTTIMO,6700,7900,18.0,25.6,1,2017,7300.0,21.8
SAN LORENZO,Abitazioni civili,OTTIMO,6700,7900,18.0,25.6,1,2017,7300.0,21.8
UNIVERSITA STATALE,Abitazioni civili,NORMALE,4800,6600,16.5,18.0,1,2017,5700.0,17.25
SAN LORENZO,Abitazioni civili,NORMALE,4800,6600,16.5,18.0,1,2017,5700.0,17.25
UNIVERSITA STATALE,Abitazioni di tipo economico,NORMALE,4100,5000,13.0,16.5,1,2017,4550.0,14.75
SAN LORENZO,Abitazioni di tipo economico,NORMALE,4100,5000,13.0,16.5,1,2017,4550.0,14.75
UNIVERSITA STATALE,Abitazioni di tipo economico,OTTIMO,5100,6300,17.0,18.5,1,2017,5700.0,17.75
SAN LORENZO,Abitazioni di tipo economico,OTTIMO,5100,6300,17.0,18.5,1,2017,5700.0,17.75
UNIVERSITA STATALE,Abitazioni signorili,OTTIMO,7800,9100,23.5,27.5,1,2017,8450.0,25.5
SAN LORENZO,Abitazioni signorili,OTTIMO,7800,9100,23.5,27.5,1,2017,8450.0,25.5
UNIVERSITA STATALE,Box,NORMALE,3300,4500,11.0,15.0,1,2017,3900.0,13.0
SAN LORENZO,Box,NORMALE,3300,4500,11.0,15.0,1,2017,3900.0,13.0
UNIVERSITA STATALE,Magazzini,NORMALE,1700,2300,10.0,13.0,1,2017,2000.0,11.5
SAN LORENZO,Magazzini,NORMALE,1700,2300,10.0,13.0,1,2017,2000.0,11.5
UNIVERSITA STATALE,Negozi,OTTIMO,5200,7200,28.7,37.5,1,2017,6200.0,33.1
SAN LORENZO,Negozi,OTTIMO,5200,7200,28.7,37.5,1,2017,6200.0,33.1
UNIVERSITA STATALE,Negozi,NORMALE,3500,5200,18.2,28.5,1,2017,4350.0,23.35
SAN LORENZO,Negozi,NORMALE,3500,5200,18.2,28.5,1,2017,4350.0,23.35
UNIVERSITA STATALE,Uffici,OTTIMO,4400,5100,19.0,24.8,1,2017,4750.0,21.9
SAN LORENZO,Uffici,OTTIMO,4400,5100,19.0,24.8,1,2017,4750.0,21.9
UNIVERSITA STATALE,Uffici strutturati,OTTIMO,4600,5800,20.0,28.0,1,2017,5200.0,24.0
SAN LORENZO,Uffici strutturati,OTTIMO,4600,5800,20.0,28.0,1,2017,5200.0,24.0
UNIVERSITA STATALE,Laboratori,NORMALE,2200,2600,12.0,15.0,1,2017,2400.0,13.5
SAN LORENZO,Laboratori,NORMALE,2200,2600,12.0,15.0,1,2017,2400.0,13.5
UNIVERSITA STATALE,Abitazioni civili,OTTIMO,6800,8000,18.8,25.8,2,2017,7400.0,22.3
SAN LORENZO,Abitazioni civili,OTTIMO,6800,8000,18.8,25.8,2,2017,7400.0,22.3
UNIVERSITA STATALE,Abitazioni civili,NORMALE,4900,6600,16.3,17.8,2,2017,5750.0,17.05
SAN LORENZO,Abitazioni civili,NORMALE,4900,6600,16.3,17.8,2,2017,5750.0,17.05
UNIVERSITA STATALE,Abitazioni di tipo economico,NORMALE,4100,5000,13.0,16.3,2,2017,4550.0,14.65
SAN LORENZO,Abitazioni di tipo economico,NORMALE,4100,5000,13.0,16.3,2,2017,4550.0,14.65
UNIVERSITA STATALE,Abitazioni di tipo economico,OTTIMO,5100,6400,17.0,18.8,2,2017,5750.0,17.9
SAN LORENZO,Abitazioni di tipo economico,OTTIMO,5100,6400,17.0,18.8,2,2017,5750.0,17.9
UNIVERSITA STATALE,Abitazioni signorili,OTTIMO,7700,9200,23.3,27.5,2,2017,8450.0,25.4
SAN LORENZO,Abitazioni signorili,OTTIMO,7700,9200,23.3,27.5,2,2017,8450.0,25.4
UNIVERSITA STATALE,Box,NORMALE,3300,4500,11.0,15.0,2,2017,3900.0,13.0
SAN LORENZO,Box,NORMALE,3300,4500,11.0,15.0,2,2017,3900.0,13.0
UNIVERSITA STATALE,Magazzini,NORMALE,1700,2300,10.0,13.0,2,2017,2000.0,11.5
SAN LORENZO,Magazzini,NORMALE,1700,2300,10.0,13.0,2,2017,2000.0,11.5
UNIVERSITA STATALE,Negozi,OTTIMO,5200,7300,28.7,38.0,2,2017,6250.0,33.35
SAN LORENZO,Negozi,OTTIMO,5200,7300,28.7,38.0,2,2017,6250.0,33.35
UNIVERSITA STATALE,Negozi,NORMALE,3600,5200,18.2,28.5,2,2017,4400.0,23.35
SAN LORENZO,Negozi,NORMALE,3600,5200,18.2,28.5,2,2017,4400.0,23.35
UNIVERSITA STATALE,Uffici,OTTIMO,4300,5100,18.8,24.8,2,2017,4700.0,21.8
SAN LORENZO,Uffici,OTTIMO,4300,5100,18.8,24.8,2,2017,4700.0,21.8
UNIVERSITA STATALE,Uffici strutturati,OTTIMO,4600,5900,20.0,28.0,2,2017,5250.0,24.0
SAN LORENZO,Uffici strutturati,OTTIMO,4600,5900,20.0,28.0,2,2017,5250.0,24.0
UNIVERSITA STATALE,Laboratori,NORMALE,2200,2600,12.0,15.0,2,2017,2400.0,13.5
SAN LORENZO,Laboratori,NORMALE,2200,2600,12.0,15.0,2,2017,2400.0,13.5
BRERA,Abitazioni civili,OTTIMO,7900,9800,22.5,27.8,1,2017,8850.0,25.15
BRERA,Abitazioni civili,NORMALE,6500,7900,18.5,21.5,1,2017,7200.0,20.0
BRERA,Abitazioni di tipo economico,OTTIMO,6600,7900,21.0,24.5,1,2017,7250.0,22.75
BRERA,Abitazioni di tipo economico,NORMALE,6000,6500,17.0,21.0,1,2017,6250.0,19.0
BRERA,Abitazioni signorili,OTTIMO,9900,11700,33.0,38.5,1,2017,10800.0,35.75
BRERA,Box,NORMALE,3900,5000,12.0,15.0,1,2017,4450.0,13.5
BRERA,Magazzini,NORMALE,1400,2000,7.0,10.5,1,2017,1700.0,8.75
BRERA,Negozi,OTTIMO,6400,8300,29.5,42.0,1,2017,7350.0,35.75
BRERA,Negozi,NORMALE,4500,6300,21.8,29.5,1,2017,5400.0,25.65
BRERA,Uffici,OTTIMO,3800,4500,16.5,22.5,1,2017,4150.0,19.5
BRERA,Uffici strutturati,OTTIMO,4400,5300,21.0,24.0,1,2017,4850.0,22.5
BRERA,Laboratori,NORMALE,2500,3100,11.0,14.0,1,2017,2800.0,12.5
BRERA,Abitazioni civili,OTTIMO,8000,9900,22.3,27.8,2,2017,8950.0,25.05
BRERA,Abitazioni civili,NORMALE,6500,7800,18.6,21.8,2,2017,7150.0,20.200000000000003
BRERA,Abitazioni di tipo economico,NORMALE,6000,6500,17.0,21.0,2,2017,6250.0,19.0
BRERA,Abitazioni di tipo economico,OTTIMO,6600,7800,21.3,24.8,2,2017,7200.0,23.05
BRERA,Abitazioni signorili,OTTIMO,9800,11800,33.0,38.2,2,2017,10800.0,35.6
BRERA,Box,NORMALE,3800,5000,12.0,15.0,2,2017,4400.0,13.5
BRERA,Magazzini,NORMALE,1400,2000,7.0,10.5,2,2017,1700.0,8.75
BRERA,Negozi,OTTIMO,6500,8300,29.5,42.5,2,2017,7400.0,36.0
BRERA,Negozi,NORMALE,4600,6300,21.8,29.3,2,2017,5450.0,25.55
BRERA,Uffici,OTTIMO,3700,4500,16.3,22.3,2,2017,4100.0,19.3
BRERA,Uffici strutturati,OTTIMO,4400,5400,21.2,24.3,2,2017,4900.0,22.75
BRERA,Laboratori,NORMALE,2500,3100,11.0,14.0,2,2017,2800.0,12.5
SANT`AMBROGIO,Abitazioni civili,OTTIMO,7300,8900,22.0,25.6,1,2017,8100.0,23.8
CADORNA,Abitazioni civili,OTTIMO,7300,8900,22.0,25.6,1,2017,8100.0,23.8
VIA DANTE,Abitazioni civili,OTTIMO,7300,8900,22.0,25.6,1,2017,8100.0,23.8
SANT`AMBROGIO,Abitazioni civili,NORMALE,6200,7300,19.3,22.0,1,2017,6750.0,20.65
CADORNA,Abitazioni civili,NORMALE,6200,7300,19.3,22.0,1,2017,6750.0,20.65
VIA DANTE,Abitazioni civili,NORMALE,6200,7300,19.3,22.0,1,2017,6750.0,20.65
SANT`AMBROGIO,Abitazioni di tipo economico,OTTIMO,6200,7400,18.8,22.0,1,2017,6800.0,20.4
CADORNA,Abitazioni di tipo economico,OTTIMO,6200,7400,18.8,22.0,1,2017,6800.0,20.4
VIA DANTE,Abitazioni di tipo economico,OTTIMO,6200,7400,18.8,22.0,1,2017,6800.0,20.4
SANT`AMBROGIO,Abitazioni di tipo economico,NORMALE,5500,6200,16.0,18.5,1,2017,5850.0,17.25
CADORNA,Abitazioni di tipo economico,NORMALE,5500,6200,16.0,18.5,1,2017,5850.0,17.25
VIA DANTE,Abitazioni di tipo economico,NORMALE,5500,6200,16.0,18.5,1,2017,5850.0,17.25
SANT`AMBROGIO,Abitazioni signorili,OTTIMO,9000,10500,25.0,35.0,1,2017,9750.0,30.0
CADORNA,Abitazioni signorili,OTTIMO,9000,10500,25.0,35.0,1,2017,9750.0,30.0
VIA DANTE,Abitazioni signorili,OTTIMO,9000,10500,25.0,35.0,1,2017,9750.0,30.0
SANT`AMBROGIO,Box,NORMALE,3800,5100,12.5,16.5,1,2017,4450.0,14.5
CADORNA,Box,NORMALE,3800,5100,12.5,16.5,1,2017,4450.0,14.5
VIA DANTE,Box,NORMALE,3800,5100,12.5,16.5,1,2017,4450.0,14.5
SANT`AMBROGIO,Magazzini,NORMALE,1500,2100,10.0,13.0,1,2017,1800.0,11.5
CADORNA,Magazzini,NORMALE,1500,2100,10.0,13.0,1,2017,1800.0,11.5
VIA DANTE,Magazzini,NORMALE,1500,2100,10.0,13.0,1,2017,1800.0,11.5
SANT`AMBROGIO,Negozi,OTTIMO,5500,7800,27.0,39.0,1,2017,6650.0,33.0
CADORNA,Negozi,OTTIMO,5500,7800,27.0,39.0,1,2017,6650.0,33.0
