id,name,neighborhood_cleansed,latitude,longitude,host_listings_count,property_type,room_type,accommodates,bedrooms,price,availability_365,review_scores_rating
32104786,"6th Floor, Cosy room. Private bathroom/entrance",BUENOS AIRES,45.48515,9.2149,1,Private room in rental unit,Private room,1,1.0,$65.00,0,4.67
31825313,Private room near Isola,MAGGIOLINA,45.49397,9.19603,1,Private room in rental unit,Private room,2,1.0,$70.00,48,5.0
31830220,Bright room with bath and balcony in center Milan,PIOLA,45.49065,9.19087,1,Private room in condo,Private room,1,1.0,$75.00,89,5.0
31830999,Martesana Studio Flat close to  Yellow Metro,MAGGIOLINA,45.49575,9.20438,15,Entire rental unit,Entire home/apt,2,,$81.00,310,4.42
32108376,Attico con terrazzo a due passi dal centro,PIOLA,45.48974,9.16648,1,Entire rental unit,Entire home/apt,2,1.0,$264.00,287,4.62
32296404,Double room with private bathroom,CORSICA,45.46055,9.22839,1,Private room in rental unit,Private room,2,1.0,$70.00,160,5.0
32299302,Corso Como New Building,REPUBBLICA,45.48348,9.18855,2,Entire rental unit,Entire home/apt,2,,$260.00,49,5.0
31832826,Appartamento con ampio terrazzo privato!,RONCHETTO,45.44072,9.14291,1,Entire rental unit,Entire home/apt,3,1.0,"$1,000.00",0,4.81
32108813,Paolo Sarpi House,SARPI,45.48252,9.17887,1,Private room in rental unit,Private room,4,1.0,$95.00,110,
31847366,Quiet comfortable room,BAGGIO,45.45232,9.09938,1,Private room in condo,Private room,2,1.0,$50.00,72,4.96
31848972,Bilocale zona NoLO a 5 minuti da Duomo,LORETO,45.48961,9.21855,2,Entire rental unit,Entire home/apt,3,1.0,$199.00,0,
32114611,Stanza privata con bagno. Milano centro,PORTA ROMANA,45.4562,9.16342,1,Private room in rental unit,Private room,2,1.0,$100.00,0,
31858265,B&B Dimora Storica,PORTA VIGENTINA,45.47473,9.20423,7,Room in bed and breakfast,Hotel room,2,5.0,$70.00,9,4.0
31858520,Sweet Home MILANO SAN SIRO,GALLARATESE,45.50008,9.11018,1,Entire rental unit,Entire home/apt,2,1.0,$89.00,36,5.0
32117385,A room on the Navigli: the place to stay in Milan,NAVIGLIO GRANDE,45.44949,9.16995,2,Private room in rental unit,Private room,2,1.0,$93.00,0,4.9
32299644,Awesome bright flat on the canal Naviglio Grande,NAVIGLIO GRANDE,45.45081,9.17462,1,Entire rental unit,Entire home/apt,4,1.0,$75.00,0,4.53
32301634,"The ""casa di ringhiera"" (Darsena area)",PORTA TICINESE,45.45096,9.18196,1,Entire rental unit,Entire home/apt,5,2.0,$59.00,0,4.69
31862050,Single room with double bed,SARPI,45.48422,9.16594,11,Private room in rental unit,Private room,1,1.0,$26.00,354,5.0
31868820,Good Locationa and Comfortable Room,CASTEL MORRONE,45.4381,9.19804,3,Private room in rental unit,Private room,2,1.0,$25.00,0,4.65
31876854,Foreveryoung,PIOLA,45.49207,9.16186,1,Entire rental unit,Entire home/apt,2,1.0,$90.00,33,5.0
32303443,Monzino/linate,PARCO LAMBRO,45.44318,9.2622,7,Entire rental unit,Entire home/apt,2,1.0,$39.00,49,4.86
31878864,Bilocale near Corso Sempione,PIOLA,45.4931,9.1583,1,Entire rental unit,Entire home/apt,2,1.0,$121.00,16,4.83
32303660,Home Hotel - Treviso 6 ZE+VE,PADOVA,45.50163,9.23622,10,Entire rental unit,Entire home/apt,8,2.0,$277.00,122,4.5
32307277,San siro room suite,P. ROSSI,45.4735,9.1207,1,Private room in condo,Private room,2,1.0,$50.00,0,4.0
32307756,Big apartment in a perfect area of Milan,PIOLA,45.49462,9.18808,1,Entire rental unit,Entire home/apt,3,1.0,$350.00,177,
32309735,Navigli Nightlife,NAVIGLIO GRANDE,45.44624,9.17472,1,Private room in condo,Private room,2,1.0,$280.00,0,
31881693,Vicolo Lavandai - Petit Apartment Navigli,NAVIGLIO GRANDE,45.45235,9.17491,41,Entire rental unit,Entire home/apt,2,1.0,$91.00,336,4.73
31881726,Private large bed in living room (center of Milan),PAGANO,45.49998,9.18289,3,Shared room in rental unit,Shared room,3,1.0,$20.00,0,5.0
31884839,Designer Flat 20 minute from Milan Cathedral,LORENTEGGIO,45.45458,9.12321,5,Entire rental unit,Entire home/apt,4,1.0,$80.00,0,4.56
31895841,Affitto bilocale a3 minuti da Rho Fiera,MUSOCCO,45.50674,9.10476,1,Entire rental unit,Entire home/apt,4,2.0,$80.00,0,5.0
32121057,2 Navigli - camera Naviglio Pavese,NAVIGLIO GRANDE,45.45087,9.1775,2,Private room in rental unit,Private room,2,1.0,$106.00,87,5.0
31898026,Tortona Apartament,PORTA ROMANA,45.4506,9.1583,1,Entire rental unit,Entire home/apt,4,1.0,$350.00,0,5.0
31913083,Charming Room in the Midtown,CERMENTATE,45.49053,9.2043,1,Private room in rental unit,Private room,2,1.0,$200.00,88,5.0
32320701,Sweet Inn | Elegant 1BR near Piazza Del Duomo,DUOMO,45.46053,9.19225,69,Entire rental unit,Entire home/apt,4,1.0,$165.00,148,4.44
31915401,Grazioso monolocale nel centro di Milano,CASTELLO,45.45621,9.20383,2,Entire home,Entire home/apt,1,,$150.00,263,
32321519,BRERA MILANO AUTHENTIC CENTER APARTMENT.,BRERA,45.47198,9.18927,1,Entire rental unit,Entire home/apt,2,1.0,$154.00,1,5.0
32322232,New & fabulous apartment in Isola Design District,PIOLA,45.48814,9.18731,1,Entire rental unit,Entire home/apt,3,1.0,$400.00,231,5.0
32122809,NEW! Lima M1  & Corso Buenos Aires Apartment!,BUENOS AIRES,45.48172,9.21325,147,Entire rental unit,Entire home/apt,4,1.0,$89.00,289,4.55
32125360,NEW! TUTTO QUI - APT WAGNER - CITY LIFE(cir015146),MONTE ROSA,45.46776,9.15432,2,Entire rental unit,Entire home/apt,3,1.0,$126.00,69,4.95
32125668,2 Navigli - camera Naviglio Grande,NAVIGLIO GRANDE,45.45102,9.17758,2,Private room in rental unit,Private room,2,1.0,$106.00,95,5.0
32326533,Castello Sforzesco - 10mins walk from Duomo,BRERA,45.46959,9.18244,5,Entire rental unit,Entire home/apt,6,2.0,$136.00,38,4.29
32328564,Central Apartment,MUSOCCO,45.5036,9.1275,36,Entire rental unit,Entire home/apt,4,1.0,$68.00,70,4.67
31917434,Mini loft cosy Milano casa di ringhiera Bicocca,ROGOREDO,45.50581,9.20414,1,Private room in rental unit,Private room,1,1.0,$75.00,234,5.0
32329053,Loft in Brera,BRERA,45.47759,9.18222,1,Entire home,Entire home/apt,3,1.0,$700.00,0,
32332541,Camera matrimoniale in centro storico,PAGANO,45.47163,9.16586,3,Private room in rental unit,Private room,2,1.0,$175.00,0,5.0
32125735,NEW Cozy apartment in Niguarda - Milano,CA` GRANDA,45.51959,9.19073,2,Entire rental unit,Entire home/apt,4,1.0,$300.00,363,
32129910,Private room in a cozy apartment in Chinatown,SARPI,45.48155,9.17288,1,Private room in rental unit,Private room,1,1.0,$83.00,67,5.0
31917607,A beautiful terrace in a great location in Milan,MOLISE,45.45628,9.21931,2,Entire rental unit,Entire home/apt,2,1.0,$95.00,296,5.0
32132418,BLU APARTMENT IN BRERA,BRERA,45.47385,9.18447,1,Entire rental unit,Entire home/apt,2,1.0,$114.00,168,4.47
32134261,"Elegant, Understated Suite with a Quaint Balcony",VIGENTINO,45.45672,9.18991,4,Private room in condo,Private room,2,1.0,$140.00,51,5.0
32333944,QT8 Russo Circovalazione Lotto,QUARTO OGGIARO,45.48482,9.1418,1,Private room in rental unit,Private room,1,1.0,$60.00,0,4.0
32334399,Private double room near City Life,PAGANO,45.47495,9.16125,1,Private room in condo,Private room,2,1.0,$95.00,0,5.0
31918300,INTERO APPARTAMENTO ZONA BRERA CON BOX E COLAZIONE,BRERA,45.47642,9.19089,1,Entire condo,Entire home/apt,4,2.0,$174.00,44,
31920960,-Wind Rose-  Hi Tech apartment,SARCA,45.43701,9.1776,1,Entire rental unit,Entire home/apt,4,1.0,$45.00,0,5.0
32337248,"Mini White Home, 3 stops from Airport Milan Linate",CITY LIFE,45.47027,9.23639,1,Entire rental unit,Entire home/apt,4,1.0,$80.00,47,4.96
32338177,Camera da letto in alloggio di massimo design,PORTA TICINESE,45.45005,9.18145,1,Private room in rental unit,Private room,2,1.0,$300.00,180,
31921691,Exclusive Suite up to 6 Guests - Central Station,CERMENTATE,45.48927,9.20308,3,Entire rental unit,Entire home/apt,6,1.0,$125.00,0,4.99
31939003,Modern flat in Porta Romana,PORTA ROMANA,45.44804,9.20582,1,Entire condo,Entire home/apt,3,2.0,$150.00,358,
